epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,55.6884,1.44497,1.56424,1.10988,1.79482,0.92508,0.71429,0.87862,0.58303,0.81314,0.82942,0.88882,0.61588,1.41601,1.33641,1.17527,2.01223,0.0008516,0.0008516,0.0008516
31,57.5047,1.52538,1.77127,1.13548,1.9199,0.89419,0.80509,0.88021,0.59339,0.89419,0.80509,0.88021,0.62139,1.41092,1.2814,1.13962,1.98253,0.000812,0.000812,0.000812
32,59.3243,1.38508,1.53597,1.0966,1.82847,0.89365,0.8007,0.85258,0.53812,0.89365,0.8007,0.85258,0.54772,1.43876,1.56256,1.17218,1.98728,0.0007724,0.0007724,0.0007724
33,61.1279,1.39123,1.67336,1.09467,1.79115,0.79559,0.74195,0.80428,0.51158,0.79559,0.74195,0.80428,0.54184,1.47405,1.34341,1.44901,2.00849,0.0007328,0.0007328,0.0007328
34,62.9307,1.33171,1.54025,1.03558,1.74977,0.85347,0.83265,0.86161,0.59021,0.85347,0.83265,0.86161,0.63299,1.38076,1.31104,1.02792,1.89972,0.0006932,0.0006932,0.0006932
35,64.7562,1.31734,1.43841,0.98687,1.71859,0.78977,0.80952,0.84726,0.58377,0.78977,0.80952,0.84726,0.55432,1.2179,1.47515,0.96506,1.79811,0.0006536,0.0006536,0.0006536
36,66.5636,1.36883,1.57828,1.03396,1.78494,0.93938,0.80952,0.89142,0.65326,0.93938,0.80952,0.89142,0.64853,1.25072,1.27252,0.94975,1.78615,0.000614,0.000614,0.000614
37,68.3795,1.32083,1.51448,1.03049,1.72485,0.93526,0.85714,0.87813,0.62352,0.93526,0.85714,0.87813,0.6379,1.24209,1.34452,0.99525,1.8214,0.0005744,0.0005744,0.0005744
38,70.1828,1.30731,1.46676,0.97386,1.69012,0.94626,0.83911,0.87766,0.60898,0.94626,0.83911,0.87747,0.60989,1.35452,1.50526,1.02305,1.88765,0.0005348,0.0005348,0.0005348
39,71.9794,1.33939,1.44445,0.98912,1.72699,0.8573,0.90476,0.88402,0.62857,0.8573,0.90476,0.88402,0.62786,1.2932,1.26607,0.95203,1.81205,0.0004952,0.0004952,0.0004952
40,73.7956,1.29622,1.48026,1.00113,1.70833,0.85032,0.81164,0.86979,0.62995,0.85032,0.81164,0.86931,0.63929,1.23684,1.32163,0.93147,1.76729,0.0004556,0.0004556,0.0004556
41,76.7641,1.12133,1.3332,1.03625,1.64109,0.94583,0.83205,0.87671,0.60815,0.94583,0.83205,0.87671,0.6546,1.35389,1.32583,1.055,1.94184,0.000416,0.000416,0.000416
42,78.572,1.0671,1.22131,0.99205,1.6104,0.94108,0.90476,0.89005,0.63652,0.94108,0.90476,0.89303,0.63941,1.2968,1.31324,1.16475,1.8832,0.0003764,0.0003764,0.0003764
43,80.3546,1.09067,1.22914,0.9476,1.56992,0.86167,0.89037,0.88631,0.66316,0.86167,0.89037,0.88631,0.64718,1.18088,1.26992,1.02579,1.75236,0.0003368,0.0003368,0.0003368
44,82.1447,1.04978,1.1788,0.89446,1.56735,0.94399,0.80294,0.86927,0.65076,0.94399,0.80294,0.86927,0.63966,1.15689,1.38734,0.97109,1.76255,0.0002972,0.0002972,0.0002972
45,83.93,1.04229,1.18489,0.86697,1.56451,0.88468,0.85714,0.87256,0.6767,0.88468,0.85714,0.87256,0.66296,1.02894,1.35281,0.89582,1.66308,0.0002576,0.0002576,0.0002576
46,85.6909,1.04565,1.16407,0.84615,1.5084,0.93001,0.85714,0.88292,0.65487,0.93001,0.85714,0.88292,0.64994,1.09702,1.34172,0.90151,1.68192,0.000218,0.000218,0.000218
47,87.4523,0.99064,1.16943,0.83544,1.49874,0.90285,0.90476,0.90936,0.64937,0.90285,0.90476,0.90751,0.64998,1.22211,1.3067,0.87204,1.7502,0.0001784,0.0001784,0.0001784
48,89.2171,1.02658,1.17997,0.84257,1.5113,0.90361,0.89326,0.90756,0.67442,0.90361,0.89326,0.90718,0.655,1.14652,1.23244,0.81124,1.70177,0.0001388,0.0001388,0.0001388
49,90.977,0.96942,1.12271,0.82144,1.48566,0.90393,0.89643,0.9072,0.71299,0.90393,0.89643,0.9072,0.69291,1.08094,1.23705,0.79151,1.66228,9.92e-05,9.92e-05,9.92e-05
50,92.7453,0.94273,1.09027,0.8324,1.45043,0.90435,0.90065,0.90284,0.69263,0.90435,0.90065,0.90284,0.68603,1.08087,1.24585,0.79202,1.66451,5.96e-05,5.96e-05,5.96e-05
